Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,TimelineJS Template Example,[timelinejs-template](https://github.com/thecdil/timelinejs-template) is basic Jekyll template for creating self-hosted [TimelineJS](https://timeline.knightlab.com/) on GitHub Pages.,https://knightlab.northwestern.edu/assets/logo-knightlab-stacked-dark.png,Knightlab TimelineJS,,,title,,
1910,,,,,,,,,"Administration Building, University of Idaho","This example timeline features media items hosted in the GitHub project repository.",demo_001.jpg,"[Northwest Historical Postcards Collection](https://www.lib.uidaho.edu/digital/postcards/), PG 9, University of Idaho Library Special Collections and Archives",,,,,
1912,9,8,,,,,,,"Spokane County Court House, Spokane, Washington","Example PDF item. Postcard postmarked 9/8/1912, Spokane, WA, Destination San Francisco, CA.",demo_002.pdf,"[Northwest Historical Postcards Collection](https://www.lib.uidaho.edu/digital/postcards/), PG 107, University of Idaho Library Special Collections and Archives",,,,,
1925,10,30,14:30,,,,,,University of Idaho vs. University of Southern California (Football),"Example YouTube item. Football game at Neale Stadium in Moscow, ID. Score: 7 - 51 (L).",https://youtu.be/CVXQ3X6Q8oU,"[Vandal Video Collection](https://www.lib.uidaho.edu/digital/vandalvideo/), Digital Initiatives, University of Idaho Library",,,,,
1947,,,,,,,,,Good News - Power,"Example MP3 audio item. A radio program episode from the 'mail order religion' Psychiana.",demo_003.mp3,"[Psychiana Digital Collection](https://www.lib.uidaho.edu/digital/psychiana/about.html), Digital Initiatives, University of Idaho Library",,,,,
